# Excitation rates (triniti, 6 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
11.250,2.898951e-14,3.190419e-32
11.300,2.909505e-14,3.205932e-32
11.350,2.920109e-14,3.221516e-32
11.400,2.930765e-14,3.237170e-32
11.450,2.941473e-14,3.252895e-32
11.500,2.952234e-14,3.268693e-32
11.550,2.963049e-14,3.284564e-32
11.600,2.973917e-14,3.300509e-32
11.650,2.984840e-14,3.316527e-32
11.700,2.995818e-14,3.332621e-32
11.750,3.006852e-14,3.348791e-32
11.800,3.017943e-14,3.365037e-32
11.850,3.029091e-14,3.381361e-32
11.900,3.040296e-14,3.397762e-32
11.950,3.051559e-14,3.414241e-32
12.000,3.062881e-14,3.430800e-32
12.050,3.074262e-14,3.447438e-32
12.100,3.085703e-14,3.464157e-32
12.150,3.097204e-14,3.480957e-32
12.200,3.108766e-14,3.497838e-32
12.250,3.120389e-14,3.514801e-32
12.300,3.132073e-14,3.531847e-32
12.350,3.143820e-14,3.548976e-32
12.400,3.155630e-14,3.566189e-32
12.450,3.167502e-14,3.583486e-32
12.500,3.179439e-14,3.600868e-32
12.550,3.191439e-14,3.618336e-32
12.600,3.203503e-14,3.635889e-32
12.650,3.215633e-14,3.653529e-32
12.700,3.227828e-14,3.671255e-32
12.750,3.240088e-14,3.689069e-32
12.800,3.252414e-14,3.706970e-32
12.850,3.264807e-14,3.724960e-32
12.900,3.277266e-14,3.743038e-32
12.950,3.289792e-14,3.761205e-32
13.000,3.302386e-14,3.779462e-32
13.050,3.315047e-14,3.797808e-32
13.100,3.327777e-14,3.816245e-32
13.150,3.340574e-14,3.834772e-32
13.200,3.353440e-14,3.853389e-32
13.250,3.366375e-14,3.872098e-32
13.300,3.379380e-14,3.890898e-32
13.350,3.392453e-14,3.909790e-32
13.400,3.405596e-14,3.928774e-32
13.450,3.418809e-14,3.947850e-32
13.500,3.432092e-14,3.967019e-32
13.550,3.445445e-14,3.986280e-32
13.600,3.458869e-14,4.005634e-32
13.650,3.472363e-14,4.025082e-32
13.700,3.485928e-14,4.044622e-32
13.750,3.499564e-14,4.064257e-32
13.800,3.513270e-14,4.083984e-32
13.850,3.527049e-14,4.103806e-32
13.900,3.540898e-14,4.123722e-32
13.950,3.554819e-14,4.143731e-32
14.000,3.568811e-14,4.163835e-32
14.050,3.582875e-14,4.184033e-32
14.100,3.597011e-14,4.204325e-32
14.150,3.611218e-14,4.224711e-32
14.200,3.625497e-14,4.245192e-32
14.250,3.639848e-14,4.265768e-32
14.300,3.654271e-14,4.286437e-32
14.350,3.668765e-14,4.307202e-32
14.400,3.683332e-14,4.328060e-32
