# Excitation rates (bsr, 31 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
15.000,1.160372e-14,2.473648e-32
15.050,1.164250e-14,2.481883e-32
15.100,1.168118e-14,2.490096e-32
15.150,1.171976e-14,2.498289e-32
15.200,1.175825e-14,2.506461e-32
15.250,1.179665e-14,2.514612e-32
15.300,1.183495e-14,2.522743e-32
15.350,1.187315e-14,2.530854e-32
15.400,1.191126e-14,2.538944e-32
15.450,1.194928e-14,2.547014e-32
15.500,1.198720e-14,2.555063e-32
15.550,1.202503e-14,2.563093e-32
15.600,1.206277e-14,2.571102e-32
15.650,1.210042e-14,2.579092e-32
15.700,1.213797e-14,2.587062e-32
15.750,1.217543e-14,2.595012e-32
15.800,1.221280e-14,2.602942e-32
15.850,1.225008e-14,2.610852e-32
15.900,1.228726e-14,2.618744e-32
15.950,1.232436e-14,2.626615e-32
16.000,1.236137e-14,2.634467e-32
16.050,1.239828e-14,2.642300e-32
16.100,1.243511e-14,2.650114e-32
16.150,1.247185e-14,2.657908e-32
16.200,1.250850e-14,2.665683e-32
16.250,1.254506e-14,2.673440e-32
16.300,1.258154e-14,2.681177e-32
16.350,1.261792e-14,2.688895e-32
16.400,1.265422e-14,2.696595e-32
16.450,1.269043e-14,2.704276e-32
16.500,1.272656e-14,2.711938e-32
16.550,1.276260e-14,2.719582e-32
16.600,1.279855e-14,2.727207e-32
16.650,1.283442e-14,2.734814e-32
16.700,1.287020e-14,2.742402e-32
16.750,1.290590e-14,2.749972e-32
16.800,1.294151e-14,2.757524e-32
16.850,1.297703e-14,2.765057e-32
16.900,1.301248e-14,2.772573e-32
16.950,1.304784e-14,2.780070e-32
17.000,1.308311e-14,2.787550e-32
17.050,1.311831e-14,2.795012e-32
17.100,1.315342e-14,2.802456e-32
17.150,1.318844e-14,2.809882e-32
17.200,1.322339e-14,2.817290e-32
17.250,1.325825e-14,2.824681e-32
17.300,1.329303e-14,2.832054e-32
17.350,1.332773e-14,2.839410e-32
17.400,1.336235e-14,2.846748e-32
17.450,1.339689e-14,2.854069e-32
17.500,1.343135e-14,2.861373e-32
17.550,1.346573e-14,2.868660e-32
17.600,1.350002e-14,2.875929e-32
17.650,1.353424e-14,2.883181e-32
17.700,1.356838e-14,2.890416e-32
17.750,1.360244e-14,2.897635e-32
17.800,1.363642e-14,2.904836e-32
17.850,1.367033e-14,2.912021e-32
17.900,1.370415e-14,2.919189e-32
17.950,1.373790e-14,2.926340e-32
18.000,1.377157e-14,2.933474e-32
18.050,1.380516e-14,2.940592e-32
18.100,1.383867e-14,2.947693e-32
18.150,1.387211e-14,2.954778e-32
18.200,1.390548e-14,2.961847e-32
18.250,1.393876e-14,2.968899e-32
18.300,1.397197e-14,2.975934e-32
18.350,1.400511e-14,2.982954e-32
18.400,1.403816e-14,2.989958e-32
18.450,1.407115e-14,2.996945e-32
18.500,1.410406e-14,3.003916e-32
18.550,1.413689e-14,3.010871e-32
18.600,1.416965e-14,3.017811e-32
18.650,1.420234e-14,3.024734e-32
18.700,1.423495e-14,3.031642e-32
18.750,1.426749e-14,3.038534e-32
18.800,1.429995e-14,3.045410e-32
18.850,1.433235e-14,3.052271e-32
18.900,1.436467e-14,3.059116e-32
18.950,1.439691e-14,3.065945e-32
19.000,1.442909e-14,3.072759e-32
19.050,1.446119e-14,3.079558e-32
19.100,1.449322e-14,3.086341e-32
19.150,1.452518e-14,3.093109e-32
19.200,1.455707e-14,3.099861e-32
19.250,1.458889e-14,3.106599e-32
19.300,1.462064e-14,3.113321e-32
19.350,1.465231e-14,3.120028e-32
19.400,1.468392e-14,3.126720e-32
19.450,1.471546e-14,3.133397e-32
19.500,1.474692e-14,3.140059e-32
19.550,1.477832e-14,3.146707e-32
19.600,1.480965e-14,3.153339e-32
19.650,1.484090e-14,3.159957e-32
19.700,1.487209e-14,3.166559e-32
19.750,1.490321e-14,3.173148e-32
19.800,1.493427e-14,3.179721e-32
19.850,1.496525e-14,3.186280e-32
19.900,1.499617e-14,3.192825e-32
19.950,1.502702e-14,3.199355e-32
20.000,1.505780e-14,3.205870e-32
