# Excitation rates (biagi_v7_1, 4 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
17.300,3.220157e-14,6.088939e-32
17.350,3.227900e-14,6.103955e-32
17.400,3.235620e-14,6.118924e-32
17.450,3.243314e-14,6.133848e-32
17.500,3.250984e-14,6.148725e-32
17.550,3.258630e-14,6.163556e-32
17.600,3.266251e-14,6.178341e-32
17.650,3.273848e-14,6.193080e-32
17.700,3.281421e-14,6.207774e-32
17.750,3.288970e-14,6.222423e-32
17.800,3.296495e-14,6.237026e-32
17.850,3.303996e-14,6.251585e-32
17.900,3.311474e-14,6.266098e-32
17.950,3.318927e-14,6.280567e-32
18.000,3.326357e-14,6.294991e-32
18.050,3.333764e-14,6.309371e-32
18.100,3.341147e-14,6.323706e-32
18.150,3.348507e-14,6.337998e-32
18.200,3.355844e-14,6.352245e-32
18.250,3.363157e-14,6.366449e-32
18.300,3.370448e-14,6.380609e-32
18.350,3.377715e-14,6.394726e-32
18.400,3.384960e-14,6.408799e-32
18.450,3.392181e-14,6.422829e-32
18.500,3.399381e-14,6.436817e-32
18.550,3.406557e-14,6.450761e-32
18.600,3.413711e-14,6.464663e-32
18.650,3.420842e-14,6.478522e-32
18.700,3.427951e-14,6.492339e-32
18.750,3.435038e-14,6.506114e-32
18.800,3.442103e-14,6.519847e-32
18.850,3.449145e-14,6.533538e-32
18.900,3.456166e-14,6.547187e-32
18.950,3.463164e-14,6.560794e-32
19.000,3.470141e-14,6.574360e-32
19.050,3.477096e-14,6.587885e-32
19.100,3.484029e-14,6.601369e-32
19.150,3.490940e-14,6.614812e-32
19.200,3.497830e-14,6.628214e-32
19.250,3.504699e-14,6.641575e-32
19.300,3.511546e-14,6.654896e-32
19.350,3.518372e-14,6.668176e-32
19.400,3.525176e-14,6.681416e-32
19.450,3.531960e-14,6.694616e-32
19.500,3.538722e-14,6.707776e-32
19.550,3.545464e-14,6.720896e-32
19.600,3.552185e-14,6.733977e-32
19.650,3.558885e-14,6.747018e-32
19.700,3.565564e-14,6.760020e-32
19.750,3.572222e-14,6.772983e-32
19.800,3.578860e-14,6.785906e-32
19.850,3.585478e-14,6.798791e-32
19.900,3.592075e-14,6.811637e-32
19.950,3.598651e-14,6.824444e-32
20.000,3.605208e-14,6.837213e-32
