# Elastic rate (biagi_v7_1)
Te_eV,Kel_m3s
19.150,1.717521e-13
19.200,1.715735e-13
19.250,1.713951e-13
19.300,1.712171e-13
19.350,1.710394e-13
19.400,1.708620e-13
19.450,1.706850e-13
19.500,1.705083e-13
19.550,1.703319e-13
19.600,1.701558e-13
19.650,1.699801e-13
19.700,1.698047e-13
19.750,1.696297e-13
19.800,1.694550e-13
19.850,1.692806e-13
19.900,1.691066e-13
19.950,1.689329e-13
20.000,1.687596e-13
