# Excitation rates (ist_lisbon, 37 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
12.250,1.266204e-14,2.712305e-32
12.300,1.271195e-14,2.723121e-32
12.350,1.276163e-14,2.733885e-32
12.400,1.281105e-14,2.744596e-32
12.450,1.286023e-14,2.755256e-32
12.500,1.290917e-14,2.765863e-32
12.550,1.295787e-14,2.776419e-32
12.600,1.300632e-14,2.786924e-32
12.650,1.305454e-14,2.797379e-32
12.700,1.310252e-14,2.807782e-32
12.750,1.315027e-14,2.818135e-32
12.800,1.319778e-14,2.828439e-32
12.850,1.324506e-14,2.838692e-32
12.900,1.329211e-14,2.848897e-32
12.950,1.333892e-14,2.859052e-32
13.000,1.338551e-14,2.869158e-32
13.050,1.343187e-14,2.879216e-32
13.100,1.347801e-14,2.889226e-32
13.150,1.352392e-14,2.899187e-32
13.200,1.356961e-14,2.909101e-32
13.250,1.361507e-14,2.918968e-32
13.300,1.366032e-14,2.928787e-32
13.350,1.370535e-14,2.938560e-32
13.400,1.375015e-14,2.948286e-32
13.450,1.379475e-14,2.957967e-32
13.500,1.383912e-14,2.967601e-32
13.550,1.388329e-14,2.977189e-32
13.600,1.392724e-14,2.986732e-32
13.650,1.397098e-14,2.996230e-32
13.700,1.401451e-14,3.005683e-32
13.750,1.405783e-14,3.015092e-32
13.800,1.410095e-14,3.024456e-32
13.850,1.414386e-14,3.033777e-32
13.900,1.418656e-14,3.043053e-32
13.950,1.422906e-14,3.052286e-32
14.000,1.427136e-14,3.061476e-32
14.050,1.431346e-14,3.070623e-32
14.100,1.435536e-14,3.079728e-32
14.150,1.439706e-14,3.088790e-32
14.200,1.443857e-14,3.097810e-32
14.250,1.447987e-14,3.106788e-32
14.300,1.452099e-14,3.115724e-32
14.350,1.456191e-14,3.124619e-32
14.400,1.460264e-14,3.133473e-32
14.450,1.464318e-14,3.142286e-32
14.500,1.468353e-14,3.151059e-32
14.550,1.472369e-14,3.159791e-32
14.600,1.476366e-14,3.168483e-32
14.650,1.480345e-14,3.177135e-32
14.700,1.484305e-14,3.185748e-32
14.750,1.488247e-14,3.194321e-32
14.800,1.492170e-14,3.202855e-32
14.850,1.496076e-14,3.211350e-32
14.900,1.499963e-14,3.219807e-32
14.950,1.503833e-14,3.228225e-32
15.000,1.507684e-14,3.236605e-32
15.050,1.511518e-14,3.244947e-32
15.100,1.515335e-14,3.253252e-32
15.150,1.519134e-14,3.261519e-32
15.200,1.522915e-14,3.269749e-32
15.250,1.526679e-14,3.277941e-32
15.300,1.530426e-14,3.286097e-32
15.350,1.534157e-14,3.294217e-32
15.400,1.537870e-14,3.302300e-32
15.450,1.541566e-14,3.310347e-32
15.500,1.545245e-14,3.318358e-32
15.550,1.548908e-14,3.326333e-32
15.600,1.552555e-14,3.334273e-32
15.650,1.556185e-14,3.342177e-32
15.700,1.559798e-14,3.350047e-32
15.750,1.563395e-14,3.357881e-32
15.800,1.566977e-14,3.365681e-32
15.850,1.570542e-14,3.373447e-32
15.900,1.574091e-14,3.381178e-32
15.950,1.577624e-14,3.388876e-32
16.000,1.581142e-14,3.396539e-32
16.050,1.584644e-14,3.404169e-32
16.100,1.588130e-14,3.411766e-32
16.150,1.591601e-14,3.419329e-32
16.200,1.595057e-14,3.426859e-32
16.250,1.598497e-14,3.434357e-32
16.300,1.601922e-14,3.441821e-32
16.350,1.605332e-14,3.449254e-32
16.400,1.608727e-14,3.456654e-32
16.450,1.612107e-14,3.464021e-32
16.500,1.615472e-14,3.471357e-32
16.550,1.618822e-14,3.478662e-32
