# Elastic rate (iaa)
Te_eV,Kel_m3s
19.400,2.406648e-13
19.450,2.408727e-13
19.500,2.410798e-13
19.550,2.412861e-13
19.600,2.414917e-13
19.650,2.416965e-13
19.700,2.419006e-13
19.750,2.421039e-13
19.800,2.423065e-13
19.850,2.425083e-13
19.900,2.427094e-13
19.950,2.429097e-13
20.000,2.431093e-13
