R=0.060000,L=0.100000,betai=0.700000,betag=0.300000,omega=85199992.765355,Nw=5.000000,Rcoil=2.000000,VGitter=1000.000000,sGitter=0.001500,Eexc=8.000000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
87836573014500768.000000,10285275237454860.000000,3128377359495462912.000000,8267725775006641152.000000,52179130797443936.000000,45942717369835176.000000,40908.715315,295.978744,53.320312,0.650000,68.175363,79.995774,4.756771,79.995774,0.000101,0.010274,4.457558,89213.131269,0.627350,0.600077,0.224143
88688518585670848.000000,11342370507935916.000000,3408370658634552832.000000,9131765347401914368.000000,53492017308549592.000000,46538872099421880.000000,39910.217201,296.229802,53.417969,0.700000,68.175363,79.993769,4.751852,79.993769,0.000111,0.011330,4.343857,88958.130438,0.646765,0.599635,0.207703
89551064504309456.000000,12323453018493492.000000,3665723305966999040.000000,10026365299576492032.000000,54772942364403640.000000,47101575741128432.000000,39014.185516,296.482336,54.082031,0.750000,68.175363,79.994820,4.747252,79.994820,0.000121,0.012402,4.268396,87780.972112,0.663119,0.596671,0.193473
90091876480904192.000000,13456101088247212.000000,3940425038102964736.000000,10894814926215180288.000000,55949083927810040.000000,47598893645460112.000000,38285.399482,296.725937,54.667969,0.800000,68.175363,80.000581,4.743305,80.000581,0.000131,0.013463,4.191154,86768.105574,0.678683,0.594096,0.181062
90299705094610752.000000,14679934178353542.000000,4227241513186570240.000000,11749746030872348672.000000,57187036928400232.000000,47792602315486520.000000,37707.770717,296.962095,54.980469,0.850000,68.175363,80.005021,4.736476,80.005021,0.000141,0.014521,4.105644,86150.916897,0.693413,0.592737,0.169904
90855312418555568.000000,15796766381180814.000000,4502734223547266048.000000,12614645309001541632.000000,58327380661695064.000000,48324698983266976.000000,37022.685637,297.194328,55.273438,0.900000,68.175363,79.998227,4.732635,79.998227,0.000152,0.015584,4.029819,85624.983753,0.706198,0.591436,0.160215
91795560351955472.000000,17945136137672792.000000,5040918168270197760.000000,14363006348689446912.000000,60650497081520368.000000,49090199387864984.000000,35859.626710,297.655687,56.582031,1.000000,68.175363,79.992501,4.723082,79.992501,0.000172,0.017725,3.918891,83476.227254,0.728576,0.585760,0.143612
92342167356201744.000000,20059855515496464.000000,5587435746793180160.000000,16094425060882587648.000000,62726910080330520.000000,49675112807084448.000000,35037.391627,298.114104,58.261719,1.100000,68.175363,79.995359,4.714690,79.995359,0.000193,0.019865,3.842520,80925.904421,0.746575,0.578659,0.130079
92845341828266368.000000,22146983656343756.000000,6137951814661036032.000000,17813783671360071680.000000,64641854905318232.000000,50350470424555032.000000,34311.962499,298.560900,59.941406,1.200000,68.175363,79.994555,4.708176,79.994555,0.000213,0.022004,3.781663,78549.864239,0.761417,0.571719,0.118905
93475365426147040.000000,24096006894356984.000000,6665175832596254720.000000,19556810996929998848.000000,66335981297069264.000000,51235390400973856.000000,33667.513209,299.015558,61.748047,1.300000,68.175363,79.999056,4.705156,79.999056,0.000234,0.024160,3.727862,76203.048837,0.774941,0.564453,0.109608
93820851362406464.000000,26167926801932168.000000,7213632444878538752.000000,21271178443249422336.000000,68139056833133280.000000,51849727033178576.000000,33094.245640,299.446845,63.613281,1.400000,68.175363,80.002325,4.699573,80.002325,0.000254,0.026310,3.681383,73881.233677,0.786954,0.557140,0.101527
94565389139544448.000000,27986864728777340.000000,7735242062155453440.000000,23011418792763203584.000000,69643236093191344.000000,52909017761735048.000000,32521.201693,299.895885,65.644531,1.500000,68.175363,79.995748,4.698564,79.995748,0.000275,0.028478,3.643387,71580.055713,0.797786,0.549358,0.094725
95254277644894096.000000,29780051550085384.000000,8253060265477070848.000000,24754049346245087232.000000,71177839252797176.000000,53856489948830096.000000,32007.566642,300.345031,67.675781,1.600000,68.175363,80.005468,4.697572,80.005468,0.000296,0.030655,3.604597,69417.261374,0.808009,0.541839,0.088755
95801783215849872.000000,31573702289524292.000000,8769618400178093056.000000,26497679153854189568.000000,72732485264680080.000000,54643000170116496.000000,31551.458048,300.786803,69.667969,1.700000,68.175363,80.001718,4.694610,80.001718,0.000316,0.032841,3.568304,67390.031729,0.817236,0.534624,0.083431
