# Ionisation rate (itikawa)
Te_eV,Kiz_m3s
18.450,2.750169e-14
18.500,2.762364e-14
18.550,2.774557e-14
18.600,2.786750e-14
18.650,2.798942e-14
18.700,2.811132e-14
18.750,2.823321e-14
18.800,2.835509e-14
18.850,2.847695e-14
18.900,2.859879e-14
18.950,2.872061e-14
19.000,2.884242e-14
19.050,2.896421e-14
19.100,2.908597e-14
19.150,2.920772e-14
19.200,2.932944e-14
19.250,2.945114e-14
19.300,2.957282e-14
19.350,2.969447e-14
19.400,2.981609e-14
19.450,2.993769e-14
19.500,3.005926e-14
19.550,3.018080e-14
19.600,3.030232e-14
19.650,3.042380e-14
19.700,3.054525e-14
19.750,3.066667e-14
19.800,3.078806e-14
19.850,3.090941e-14
19.900,3.103073e-14
19.950,3.115202e-14
20.000,3.127326e-14
